,0
ElectronMean_4_std1h_lag6,20.0
IntegralMean_std1h_lag6,20.0
ElectronMean_0_mean1h_lag36,20.0
ProtonStd_3_std1h_lag144,20.0
ElectronMean_2_std1h_lag36,20.0
ElectronMax_0_mean1h_lag36,20.0
ProtonStd_3_std1h_lag36,20.0
ProtonMax_0_mean1h_lag144,20.0
ElectronMax_0_std1h_lag144,20.0
ElectronMean_3_lag144,20.0
proton_density_mean1h_lag12,20.0
ElectronMean_6_std1h_lag36,20.0
ElectronMax_4_std1h_lag72,20.0
ElectronMax_3_mean1h_lag144,20.0
ElectronStd_0_mean1h,19.0
ElectronMean_2_std1h_lag72,19.0
ElectronStd_0_lag12,19.0
ProtonMean_1_std1h_lag12,19.0
ElectronMean_1_std1h_lag36,19.0
ElectronStd_1_mean1h_lag72,19.0
ElectronMean_1_mean1h_lag72,19.0
ProtonMean_0_lag144,19.0
ProtonMean_7_std1h,19.0
ProtonMean_7_std1h_lag6,19.0
ElectronMax_4_mean1h_lag144,19.0
ProtonStd_1_lag72,19.0
ProtonMax_7_std1h_lag72,19.0
ProtonMean_6_std1h_lag144,19.0
ProtonStd_5_std1h_lag144,19.0
ElectronMean_5_std1h_lag36,19.0
ElectronStd_4_mean1h_lag36,19.0
ElectronMax_3_std1h_lag72,19.0
ProtonMean_1_lag144,19.0
ElectronMax_7_mean1h_lag144,19.0
ElectronStd_0_lag144,19.0
ProtonStd_7_std1h_lag72,19.0
ProtonStd_3_lag144,19.0
ProtonMean_1_mean1h,19.0
ProtonStd_0_std1h,19.0
ProtonMax_0,19.0
VBz_lag144,19.0
ElectronMean_2_mean1h_lag6,19.0
ProtonMean_9_std1h_lag12,19.0
ProtonMax_1,19.0
ProtonMean_3_std1h_lag36,19.0
ProtonMean_3_std1h_lag72,19.0
ElectronStd_3_mean1h_lag144,19.0
ProtonMean_8_std1h_lag144,18.0
ElectronStd_7_std1h_lag12,18.0
ElectronStd_6,18.0
ElectronMax_8_mean1h_lag72,18.0
ProtonMean_0_mean1h,18.0
Dynamic_Pressure_std1h_lag6,18.0
ElectronMean_1,18.0
ProtonStd_1_mean1h_lag36,18.0
ProtonMean_9_mean1h,18.0
ProtonMean_8_mean1h,18.0
ProtonMean_5_std1h_lag144,18.0
ProtonMean_5_mean1h_lag144,18.0
ElectronMax_8_lag72,18.0
ProtonStd_6_std1h_lag144,18.0
ProtonMean_7_mean1h_lag36,18.0
ProtonMax_7_std1h_lag12,18.0
ProtonMean_4_std1h_lag12,18.0
ProtonMax_7_lag144,18.0
ElectronMax_3_std1h_lag36,18.0
ElectronStd_4_mean1h_lag144,18.0
ElectronMean_5_std1h_lag6,18.0
ElectronStd_2_std1h_lag72,18.0
ElectronMean_7_mean1h,18.0
ProtonStd_1_std1h_lag6,18.0
ProtonMean_0_mean1h_lag12,18.0
ProtonMean_7_lag144,18.0
ProtonMean_7_lag36,18.0
ElectronMax_5_std1h_lag36,18.0
ProtonStd_7_mean1h_lag72,18.0
ElectronStd_7_mean1h_lag6,18.0
ElectronMax_7_std1h_lag36,18.0
ElectronStd_6_lag12,18.0
ElectronStd_1,18.0
Dynamic_Pressure_std1h_lag72,18.0
ElectronStd_6_lag72,18.0
ElectronMax_0_lag36,18.0
ElectronMean_7_mean1h_lag12,18.0
ElectronMax_1,17.0
ElectronStd_3,17.0
ProtonMax_0_mean1h_lag36,17.0
ElectronStd_2_mean1h,17.0
ProtonMax_0_mean1h_lag72,17.0
ElectronMean_2,17.0
Dynamic_Pressure_std1h_lag36,17.0
ProtonMean_9_std1h_lag144,17.0
ElectronStd_6_std1h_lag72,17.0
ElectronMean_5_std1h_lag12,17.0
ProtonMean_6_std1h_lag6,17.0
ElectronMax_7_mean1h_lag12,17.0
ProtonStd_2_lag72,17.0
ProtonMax_6_std1h_lag72,17.0
ProtonStd_7_lag144,17.0
ElectronMax_3_std1h_lag12,17.0
ElectronStd_4_std1h,17.0
ElectronMax_5_std1h,17.0
ElectronStd_5_std1h,17.0
ElectronStd_7_std1h_lag144,17.0
ProtonStd_0_lag12,17.0
Dynamic_Pressure_std1h,17.0
ElectronStd_2_std1h_lag6,17.0
VBz_lag36,17.0
ProtonStd_1_mean1h_lag144,17.0
ElectronMax_2_std1h_lag144,17.0
ProtonStd_1_mean1h_lag72,17.0
ElectronStd_2_std1h_lag144,17.0
ProtonMean_1_std1h,17.0
